rotem
rotem's store,ebay
heart ring,jewelry,50,100
25,25
50,30
100,28
long necklace,jewelry,100,150
10,20
7,22
15,29
silver earrings,jewelry,75,130
15,26
28,24
42,27
yaron
yaron's jewlery,amazon
colorful ring,jewelry,25,50
25,25
50,30
100,28
star necklace,jewelry,100,75
10,20
7,22
15,29
purple bracelet,jewelry,100,100
15,26
28,24
42,27
matan
matan textile,ebay
mini black dress,fashion,100,50
25,25
50,30
100,28
orange skirt,fashion,100,30
10,20
7,22
15,29
pink tshirt,fashion,100,25
15,26
28,24
42,27

